C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00161 | Time(s) 0.0557 | Loss 0.0621 | Accuracy 1.0000 | ETputs(KTEPS) 189.60
Epoch 00162 | Time(s) 0.0556 | Loss 0.0688 | Accuracy 1.0000 | ETputs(KTEPS) 189.78
Epoch 00163 | Time(s) 0.0556 | Loss 0.0798 | Accuracy 1.0000 | ETputs(KTEPS) 189.97
Epoch 00164 | Time(s) 0.0555 | Loss 0.0667 | Accuracy 1.0000 | ETputs(KTEPS) 190.04
Epoch 00165 | Time(s) 0.0556 | Loss 0.0439 | Accuracy 1.0000 | ETputs(KTEPS) 189.89
Epoch 00166 | Time(s) 0.0555 | Loss 0.0303 | Accuracy 1.0000 | ETputs(KTEPS) 190.07
Epoch 00167 | Time(s) 0.0555 | Loss 0.0404 | Accuracy 1.0000 | ETputs(KTEPS) 190.25
Epoch 00168 | Time(s) 0.0554 | Loss 0.0322 | Accuracy 1.0000 | ETputs(KTEPS) 190.43
Epoch 00169 | Time(s) 0.0553 | Loss 0.0390 | Accuracy 1.0000 | ETputs(KTEPS) 190.93
Epoch 00170 | Time(s) 0.0552 | Loss 0.0198 | Accuracy 1.0000 | ETputs(KTEPS) 191.40
Epoch 00171 | Time(s) 0.0551 | Loss 0.0293 | Accuracy 1.0000 | ETputs(KTEPS) 191.57
Epoch 00172 | Time(s) 0.0550 | Loss 0.0189 | Accuracy 1.0000 | ETputs(KTEPS) 192.06
Epoch 00173 | Time(s) 0.0548 | Loss 0.0719 | Accuracy 1.0000 | ETputs(KTEPS) 192.55
Epoch 00174 | Time(s) 0.0547 | Loss 0.0459 | Accuracy 1.0000 | ETputs(KTEPS) 193.03
Epoch 00175 | Time(s) 0.0546 | Loss 0.0188 | Accuracy 1.0000 | ETputs(KTEPS) 193.19
Epoch 00176 | Time(s) 0.0546 | Loss 0.0668 | Accuracy 1.0000 | ETputs(KTEPS) 193.35
