C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00098 | Time(s) 0.0548 | Loss 0.8602 | Accuracy 0.8497 | ETputs(KTEPS) 168.27
Epoch 00099 | Time(s) 0.0548 | Loss 1.1343 | Accuracy 0.8497 | ETputs(KTEPS) 168.36
Epoch 00100 | Time(s) 0.0547 | Loss 1.0904 | Accuracy 0.8497 | ETputs(KTEPS) 168.55
Epoch 00101 | Time(s) 0.0547 | Loss 1.1860 | Accuracy 0.8497 | ETputs(KTEPS) 168.77
Epoch 00102 | Time(s) 0.0546 | Loss 1.0376 | Accuracy 0.8497 | ETputs(KTEPS) 168.94
Epoch 00103 | Time(s) 0.0546 | Loss 0.8088 | Accuracy 0.8497 | ETputs(KTEPS) 169.03
Epoch 00104 | Time(s) 0.0545 | Loss 1.1380 | Accuracy 0.8497 | ETputs(KTEPS) 169.17
Epoch 00105 | Time(s) 0.0545 | Loss 0.8948 | Accuracy 0.8497 | ETputs(KTEPS) 169.31
Epoch 00106 | Time(s) 0.0545 | Loss 0.8740 | Accuracy 0.8497 | ETputs(KTEPS) 169.45
Epoch 00107 | Time(s) 0.0545 | Loss 1.1380 | Accuracy 0.8497 | ETputs(KTEPS) 169.47
Epoch 00108 | Time(s) 0.0544 | Loss 0.7119 | Accuracy 0.8497 | ETputs(KTEPS) 169.52
Epoch 00109 | Time(s) 0.0544 | Loss 1.2164 | Accuracy 0.8497 | ETputs(KTEPS) 169.68
Epoch 00110 | Time(s) 0.0543 | Loss 1.0483 | Accuracy 0.8497 | ETputs(KTEPS) 169.87
Epoch 00111 | Time(s) 0.0543 | Loss 0.8814 | Accuracy 0.8497 | ETputs(KTEPS) 169.97
Epoch 00112 | Time(s) 0.0542 | Loss 1.0733 | Accuracy 0.8497 | ETputs(KTEPS) 170.12
Epoch 00113 | Time(s) 0.0542 | Loss 0.8927 | Accuracy 0.8497 | ETputs(KTEPS) 170.22
Epoch 00114 | Time(s) 0.0542 | Loss 0.6133 | Accuracy 0.8497 | ETputs(KTEPS) 170.37
Epoch 00115 | Time(s) 0.0541 | Loss 0.9219 | Accuracy 0.8497 | ETputs(KTEPS) 170.49
Epoch 00116 | Time(s) 0.0541 | Loss 1.1190 | Accuracy 0.8497 | ETputs(KTEPS) 170.63
Epoch 00117 | Time(s) 0.0541 | Loss 0.8751 | Accuracy 0.8497 | ETputs(KTEPS) 170.72
Epoch 00118 | Time(s) 0.0540 | Loss 0.5687 | Accuracy 0.8497 | ETputs(KTEPS) 170.86
Epoch 00119 | Time(s) 0.0540 | Loss 0.6651 | Accuracy 0.8497 | ETputs(KTEPS) 171.00
Epoch 00120 | Time(s) 0.0539 | Loss 0.9094 | Accuracy 0.8497 | ETputs(KTEPS) 171.14
Epoch 00121 | Time(s) 0.0539 | Loss 0.6438 | Accuracy 0.8497 | ETputs(KTEPS) 171.30
Epoch 00122 | Time(s) 0.0538 | Loss 0.8090 | Accuracy 0.8497 | ETputs(KTEPS) 171.43
Epoch 00123 | Time(s) 0.0538 | Loss 0.6566 | Accuracy 0.8497 | ETputs(KTEPS) 171.51
