C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00098 | Time(s) 0.0446 | Loss 0.1282 | Accuracy 0.8892 | ETputs(KTEPS) 236.79
Epoch 00099 | Time(s) 0.0446 | Loss 0.1217 | Accuracy 0.8892 | ETputs(KTEPS) 236.50
Epoch 00100 | Time(s) 0.0446 | Loss 0.1116 | Accuracy 0.8892 | ETputs(KTEPS) 236.81
Epoch 00101 | Time(s) 0.0446 | Loss 0.0986 | Accuracy 0.8892 | ETputs(KTEPS) 236.85
Epoch 00102 | Time(s) 0.0446 | Loss 0.1031 | Accuracy 0.8892 | ETputs(KTEPS) 236.94
Epoch 00103 | Time(s) 0.0445 | Loss 0.1152 | Accuracy 0.8892 | ETputs(KTEPS) 237.24
Epoch 00104 | Time(s) 0.0445 | Loss 0.1215 | Accuracy 0.8892 | ETputs(KTEPS) 237.42
Epoch 00105 | Time(s) 0.0444 | Loss 0.1017 | Accuracy 0.8892 | ETputs(KTEPS) 237.56
Epoch 00106 | Time(s) 0.0444 | Loss 0.0989 | Accuracy 0.8892 | ETputs(KTEPS) 237.64
Epoch 00107 | Time(s) 0.0445 | Loss 0.1123 | Accuracy 0.8892 | ETputs(KTEPS) 237.41
Epoch 00108 | Time(s) 0.0446 | Loss 0.1012 | Accuracy 0.8892 | ETputs(KTEPS) 236.74
Epoch 00109 | Time(s) 0.0446 | Loss 0.1130 | Accuracy 0.8892 | ETputs(KTEPS) 236.87
Epoch 00110 | Time(s) 0.0446 | Loss 0.1111 | Accuracy 0.8892 | ETputs(KTEPS) 236.91
Epoch 00111 | Time(s) 0.0445 | Loss 0.1077 | Accuracy 0.8892 | ETputs(KTEPS) 237.13
Epoch 00112 | Time(s) 0.0445 | Loss 0.1024 | Accuracy 0.8892 | ETputs(KTEPS) 237.16
Epoch 00113 | Time(s) 0.0445 | Loss 0.1211 | Accuracy 0.8892 | ETputs(KTEPS) 237.34
Epoch 00114 | Time(s) 0.0444 | Loss 0.1010 | Accuracy 0.8892 | ETputs(KTEPS) 237.51
Epoch 00115 | Time(s) 0.0444 | Loss 0.0918 | Accuracy 0.8892 | ETputs(KTEPS) 237.72
Epoch 00116 | Time(s) 0.0444 | Loss 0.1286 | Accuracy 0.8892 | ETputs(KTEPS) 237.80
Epoch 00117 | Time(s) 0.0444 | Loss 0.0977 | Accuracy 0.8892 | ETputs(KTEPS) 237.82
Epoch 00118 | Time(s) 0.0443 | Loss 0.1074 | Accuracy 0.8892 | ETputs(KTEPS) 238.03
Epoch 00119 | Time(s) 0.0443 | Loss 0.1105 | Accuracy 0.8892 | ETputs(KTEPS) 238.14
Epoch 00120 | Time(s) 0.0443 | Loss 0.1037 | Accuracy 0.8892 | ETputs(KTEPS) 238.16
Epoch 00121 | Time(s) 0.0443 | Loss 0.1184 | Accuracy 0.8892 | ETputs(KTEPS) 238.18
Epoch 00122 | Time(s) 0.0443 | Loss 0.0950 | Accuracy 0.8892 | ETputs(KTEPS) 238.42
Epoch 00123 | Time(s) 0.0442 | Loss 0.1145 | Accuracy 0.8892 | ETputs(KTEPS) 238.57
Epoch 00124 | Time(s) 0.0442 | Loss 0.0865 | Accuracy 0.8892 | ETputs(KTEPS) 238.68
Epoch 00125 | Time(s) 0.0442 | Loss 0.0967 | Accuracy 0.8892 | ETputs(KTEPS) 238.69
Epoch 00126 | Time(s) 0.0443 | Loss 0.0926 | Accuracy 0.8892 | ETputs(KTEPS) 238.36
Epoch 00127 | Time(s) 0.0442 | Loss 0.1024 | Accuracy 0.8892 | ETputs(KTEPS) 238.59
Epoch 00128 | Time(s) 0.0442 | Loss 0.1051 | Accuracy 0.8892 | ETputs(KTEPS) 238.69
Epoch 00129 | Time(s) 0.0442 | Loss 0.1031 | Accuracy 0.8892 | ETputs(KTEPS) 238.84
Epoch 00130 | Time(s) 0.0442 | Loss 0.0946 | Accuracy 0.8892 | ETputs(KTEPS) 239.02
Epoch 00131 | Time(s) 0.0442 | Loss 0.1018 | Accuracy 0.8892 | ETputs(KTEPS) 239.03
Epoch 00132 | Time(s) 0.0442 | Loss 0.1014 | Accuracy 0.8892 | ETputs(KTEPS) 239.08
Epoch 00133 | Time(s) 0.0441 | Loss 0.0929 | Accuracy 0.8892 | ETputs(KTEPS) 239.30
Epoch 00134 | Time(s) 0.0441 | Loss 0.0969 | Accuracy 0.8892 | ETputs(KTEPS) 239.51
Epoch 00135 | Time(s) 0.0441 | Loss 0.1024 | Accuracy 0.8892 | ETputs(KTEPS) 239.52
Epoch 00136 | Time(s) 0.0441 | Loss 0.1188 | Accuracy 0.8892 | ETputs(KTEPS) 239.53
Epoch 00137 | Time(s) 0.0440 | Loss 0.0948 | Accuracy 0.8892 | ETputs(KTEPS) 239.74
Epoch 00138 | Time(s) 0.0440 | Loss 0.0880 | Accuracy 0.8892 | ETputs(KTEPS) 239.94
Epoch 00139 | Time(s) 0.0440 | Loss 0.0951 | Accuracy 0.8892 | ETputs(KTEPS) 239.91
Epoch 00140 | Time(s) 0.0440 | Loss 0.0944 | Accuracy 0.8892 | ETputs(KTEPS) 239.72
Epoch 00141 | Time(s) 0.0440 | Loss 0.0959 | Accuracy 0.8892 | ETputs(KTEPS) 239.84
Epoch 00142 | Time(s) 0.0440 | Loss 0.0992 | Accuracy 0.8892 | ETputs(KTEPS) 240.00
Epoch 00143 | Time(s) 0.0440 | Loss 0.1078 | Accuracy 0.8892 | ETputs(KTEPS) 240.00
Epoch 00144 | Time(s) 0.0440 | Loss 0.0941 | Accuracy 0.8892 | ETputs(KTEPS) 240.08
Epoch 00145 | Time(s) 0.0439 | Loss 0.1068 | Accuracy 0.8892 | ETputs(KTEPS) 240.24
Epoch 00146 | Time(s) 0.0439 | Loss 0.0981 | Accuracy 0.8892 | ETputs(KTEPS) 240.39
Epoch 00147 | Time(s) 0.0439 | Loss 0.0935 | Accuracy 0.8892 | ETputs(KTEPS) 240.40
Epoch 00148 | Time(s) 0.0439 | Loss 0.0969 | Accuracy 0.8892 | ETputs(KTEPS) 240.40
Epoch 00149 | Time(s) 0.0439 | Loss 0.0929 | Accuracy 0.8892 | ETputs(KTEPS) 240.58
Epoch 00150 | Time(s) 0.0439 | Loss 0.0875 | Accuracy 0.8892 | ETputs(KTEPS) 240.69
Epoch 00151 | Time(s) 0.0438 | Loss 0.0856 | Accuracy 0.8892 | ETputs(KTEPS) 240.73
Epoch 00152 | Time(s) 0.0439 | Loss 0.0994 | Accuracy 0.8892 | ETputs(KTEPS) 240.73
Epoch 00153 | Time(s) 0.0438 | Loss 0.0891 | Accuracy 0.8892 | ETputs(KTEPS) 240.87
Epoch 00154 | Time(s) 0.0438 | Loss 0.0849 | Accuracy 0.8892 | ETputs(KTEPS) 240.91
Epoch 00155 | Time(s) 0.0438 | Loss 0.0994 | Accuracy 0.8892 | ETputs(KTEPS) 240.80
Epoch 00156 | Time(s) 0.0439 | Loss 0.0851 | Accuracy 0.8892 | ETputs(KTEPS) 240.58
Epoch 00157 | Time(s) 0.0439 | Loss 0.0844 | Accuracy 0.8892 | ETputs(KTEPS) 240.55
Epoch 00158 | Time(s) 0.0439 | Loss 0.0935 | Accuracy 0.8892 | ETputs(KTEPS) 240.69
Epoch 00159 | Time(s) 0.0438 | Loss 0.0939 | Accuracy 0.8892 | ETputs(KTEPS) 240.79
Epoch 00160 | Time(s) 0.0438 | Loss 0.0870 | Accuracy 0.8892 | ETputs(KTEPS) 240.96
Epoch 00161 | Time(s) 0.0438 | Loss 0.0831 | Accuracy 0.8892 | ETputs(KTEPS) 241.10
Epoch 00162 | Time(s) 0.0438 | Loss 0.0782 | Accuracy 0.8892 | ETputs(KTEPS) 241.20
Epoch 00163 | Time(s) 0.0437 | Loss 0.0978 | Accuracy 0.8892 | ETputs(KTEPS) 241.30
Epoch 00164 | Time(s) 0.0437 | Loss 0.0879 | Accuracy 0.8892 | ETputs(KTEPS) 241.46
Epoch 00165 | Time(s) 0.0437 | Loss 0.0903 | Accuracy 0.8892 | ETputs(KTEPS) 241.56
Epoch 00166 | Time(s) 0.0437 | Loss 0.0891 | Accuracy 0.8892 | ETputs(KTEPS) 241.58
Epoch 00167 | Time(s) 0.0437 | Loss 0.0817 | Accuracy 0.8892 | ETputs(KTEPS) 241.68
Epoch 00168 | Time(s) 0.0437 | Loss 0.0839 | Accuracy 0.8892 | ETputs(KTEPS) 241.81
Epoch 00169 | Time(s) 0.0437 | Loss 0.0874 | Accuracy 0.8892 | ETputs(KTEPS) 241.34
Epoch 00170 | Time(s) 0.0437 | Loss 0.0861 | Accuracy 0.8892 | ETputs(KTEPS) 241.36
Epoch 00171 | Time(s) 0.0438 | Loss 0.0778 | Accuracy 0.8892 | ETputs(KTEPS) 240.84
Epoch 00172 | Time(s) 0.0439 | Loss 0.0864 | Accuracy 0.8892 | ETputs(KTEPS) 240.32
Epoch 00173 | Time(s) 0.0440 | Loss 0.0854 | Accuracy 0.8892 | ETputs(KTEPS) 239.94
Epoch 00174 | Time(s) 0.0440 | Loss 0.0918 | Accuracy 0.8892 | ETputs(KTEPS) 240.04
Epoch 00175 | Time(s) 0.0441 | Loss 0.0814 | Accuracy 0.8892 | ETputs(KTEPS) 239.57
Epoch 00176 | Time(s) 0.0442 | Loss 0.0850 | Accuracy 0.8892 | ETputs(KTEPS) 238.96
Epoch 00177 | Time(s) 0.0442 | Loss 0.1016 | Accuracy 0.8892 | ETputs(KTEPS) 238.81
Epoch 00178 | Time(s) 0.0442 | Loss 0.0771 | Accuracy 0.8892 | ETputs(KTEPS) 238.70
Epoch 00179 | Time(s) 0.0442 | Loss 0.0734 | Accuracy 0.8892 | ETputs(KTEPS) 238.74
Epoch 00180 | Time(s) 0.0442 | Loss 0.0808 | Accuracy 0.8892 | ETputs(KTEPS) 238.75
Epoch 00181 | Time(s) 0.0442 | Loss 0.0850 | Accuracy 0.8892 | ETputs(KTEPS) 238.76
Epoch 00182 | Time(s) 0.0442 | Loss 0.0822 | Accuracy 0.8892 | ETputs(KTEPS) 238.74
Epoch 00183 | Time(s) 0.0442 | Loss 0.0925 | Accuracy 0.8892 | ETputs(KTEPS) 238.81
Epoch 00184 | Time(s) 0.0445 | Loss 0.0807 | Accuracy 0.8892 | ETputs(KTEPS) 237.20
Epoch 00185 | Time(s) 0.0445 | Loss 0.0871 | Accuracy 0.8892 | ETputs(KTEPS) 236.99
Epoch 00186 | Time(s) 0.0445 | Loss 0.0750 | Accuracy 0.8892 | ETputs(KTEPS) 237.00
Epoch 00187 | Time(s) 0.0445 | Loss 0.0680 | Accuracy 0.8892 | ETputs(KTEPS) 237.05
Epoch 00188 | Time(s) 0.0445 | Loss 0.0668 | Accuracy 0.8892 | ETputs(KTEPS) 237.07
Epoch 00189 | Time(s) 0.0445 | Loss 0.1004 | Accuracy 0.8892 | ETputs(KTEPS) 237.15
Epoch 00190 | Time(s) 0.0445 | Loss 0.0831 | Accuracy 0.8892 | ETputs(KTEPS) 237.19
Epoch 00191 | Time(s) 0.0445 | Loss 0.0853 | Accuracy 0.8892 | ETputs(KTEPS) 237.24
Epoch 00192 | Time(s) 0.0445 | Loss 0.0770 | Accuracy 0.8892 | ETputs(KTEPS) 237.34
Epoch 00193 | Time(s) 0.0445 | Loss 0.0717 | Accuracy 0.8892 | ETputs(KTEPS) 237.38
Epoch 00194 | Time(s) 0.0444 | Loss 0.0636 | Accuracy 0.8892 | ETputs(KTEPS) 237.48
Epoch 00195 | Time(s) 0.0444 | Loss 0.0757 | Accuracy 0.8892 | ETputs(KTEPS) 237.53
Epoch 00196 | Time(s) 0.0445 | Loss 0.0707 | Accuracy 0.8892 | ETputs(KTEPS) 237.40
Epoch 00197 | Time(s) 0.0444 | Loss 0.0730 | Accuracy 0.8892 | ETputs(KTEPS) 237.53
Epoch 00198 | Time(s) 0.0444 | Loss 0.0763 | Accuracy 0.8892 | ETputs(KTEPS) 237.65
Epoch 00199 | Time(s) 0.0444 | Loss 0.0730 | Accuracy 0.8892 | ETputs(KTEPS) 237.72

Test Accuracy 0.6307
