C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00091 | Time(s) 0.0670 | Loss 0.3952 | Accuracy 0.8497 | ETputs(KTEPS) 137.74
Epoch 00092 | Time(s) 0.0669 | Loss 0.2284 | Accuracy 0.8497 | ETputs(KTEPS) 137.84
Epoch 00093 | Time(s) 0.0671 | Loss 0.1432 | Accuracy 0.8497 | ETputs(KTEPS) 137.59
Epoch 00094 | Time(s) 0.0670 | Loss 0.1970 | Accuracy 0.8497 | ETputs(KTEPS) 137.69
Epoch 00095 | Time(s) 0.0670 | Loss 0.1394 | Accuracy 0.8497 | ETputs(KTEPS) 137.74
Epoch 00096 | Time(s) 0.0671 | Loss 0.1524 | Accuracy 0.8497 | ETputs(KTEPS) 137.50
Epoch 00097 | Time(s) 0.0671 | Loss 0.1120 | Accuracy 0.8497 | ETputs(KTEPS) 137.55
Epoch 00098 | Time(s) 0.0671 | Loss 0.0615 | Accuracy 0.8497 | ETputs(KTEPS) 137.59
Epoch 00099 | Time(s) 0.0672 | Loss 0.2223 | Accuracy 0.8497 | ETputs(KTEPS) 137.36
Epoch 00100 | Time(s) 0.0672 | Loss 0.1891 | Accuracy 0.8497 | ETputs(KTEPS) 137.41
Epoch 00101 | Time(s) 0.0673 | Loss 0.1944 | Accuracy 0.8497 | ETputs(KTEPS) 137.19
Epoch 00102 | Time(s) 0.0674 | Loss 0.0817 | Accuracy 0.8497 | ETputs(KTEPS) 136.96
Epoch 00103 | Time(s) 0.0675 | Loss 0.3268 | Accuracy 0.8497 | ETputs(KTEPS) 136.75
Epoch 00104 | Time(s) 0.0674 | Loss 0.0460 | Accuracy 0.8497 | ETputs(KTEPS) 136.85
Epoch 00105 | Time(s) 0.0674 | Loss 0.2237 | Accuracy 0.8497 | ETputs(KTEPS) 136.94
Epoch 00106 | Time(s) 0.0673 | Loss 0.1084 | Accuracy 0.8497 | ETputs(KTEPS) 137.04
Epoch 00107 | Time(s) 0.0673 | Loss 0.0737 | Accuracy 0.8497 | ETputs(KTEPS) 137.13
Epoch 00108 | Time(s) 0.0672 | Loss 0.0460 | Accuracy 0.8497 | ETputs(KTEPS) 137.23
Epoch 00109 | Time(s) 0.0673 | Loss 0.0655 | Accuracy 0.8497 | ETputs(KTEPS) 137.02
Epoch 00110 | Time(s) 0.0674 | Loss 0.0560 | Accuracy 0.8497 | ETputs(KTEPS) 136.82
Epoch 00111 | Time(s) 0.0674 | Loss 0.3136 | Accuracy 0.8497 | ETputs(KTEPS) 136.91
Epoch 00112 | Time(s) 0.0674 | Loss 0.1029 | Accuracy 0.8497 | ETputs(KTEPS) 137.00
Epoch 00113 | Time(s) 0.0673 | Loss 0.0566 | Accuracy 0.8497 | ETputs(KTEPS) 137.09
Epoch 00114 | Time(s) 0.0673 | Loss 0.0563 | Accuracy 0.8497 | ETputs(KTEPS) 137.18
Epoch 00115 | Time(s) 0.0674 | Loss 0.5959 | Accuracy 0.8497 | ETputs(KTEPS) 136.98
Epoch 00116 | Time(s) 0.0675 | Loss 0.0693 | Accuracy 0.8497 | ETputs(KTEPS) 136.79
Epoch 00117 | Time(s) 0.0677 | Loss 0.0511 | Accuracy 1.0000 | ETputs(KTEPS) 136.33
Epoch 00118 | Time(s) 0.0678 | Loss 0.0452 | Accuracy 1.0000 | ETputs(KTEPS) 136.15
Epoch 00119 | Time(s) 0.0677 | Loss 0.1141 | Accuracy 1.0000 | ETputs(KTEPS) 136.24
Epoch 00120 | Time(s) 0.0680 | Loss 0.7188 | Accuracy 1.0000 | ETputs(KTEPS) 135.80
Epoch 00121 | Time(s) 0.0680 | Loss 0.0342 | Accuracy 1.0000 | ETputs(KTEPS) 135.63
Epoch 00122 | Time(s) 0.0680 | Loss 0.0455 | Accuracy 1.0000 | ETputs(KTEPS) 135.72
